tconst	Title	startYear	genres1	leading_role	second_role	third_role	leading_director	poster_path
tt0012494	Les Trois Lumières	1921	Drama	Bernhard Goetzke	Lil Dagover	Walter Janssen	Fritz Lang	/zgRB2MhCTfOMkxRO7seX6GxOaKJ.jpg
tt0012532	Les Deux Orphelines	1921	Drama	Lillian Gish	Dorothy Gish	Joseph Schildkraut	D.W. Griffith	/gbBzFuiVnuSPYZRXRArILc3Ywz3.jpg
tt0012752	Les trois mousquetaires	1921	Action	Douglas Fairbanks	Nigel De Brulier	George Siegmann	Fred Niblo	/55FdDXbYk8EdIFP0UTxCd1I5r3t.jpg
tt0012763	Le coeur sur la main	1921	Drama	Richard Barthelmess	Gladys Hulette	Walter P. Lewis	Henry King	/8E0NOQusvIZzo1sf8w91KifSlxh.jpg
tt0012973	La Terre qui flambe	1922	Drama	Werner Krauss	Eugen Klöpfer	Vladimir Gajdarov	F.W. Murnau	/lORHdoWSl3e1MnranH9SsFvvfdq.jpg
tt0013033	Crainquebille	1922	Drama	Maurice de Féraudy	Félix Oudart	Jean Forest	Jacques Feyder	/dHexVjgfpwRdpyBfECeJ5ZK6OwA.jpg
tt0013075	Et puis ça va	1922	Comedy	Harold Lloyd	Mildred Davis	John T. Prince	Fred C. Newmeyer	/vWr8isUou7CwHwsByg3bP9LGMKS.jpg
tt0013086	Le docteur Mabuse	1922	Crime	Rudolf Klein-Rogge	Aud Egede-Nissen	Gertrude Welcker	Fritz Lang	/ysHJDo9do2USU1BhWxcT0WO9WTO.jpg
tt0013140	Folies de femmes	1922	Drama	Rudolph Christians	Miss DuPont	Maude George	Erich von Stroheim	/esdMep54xAUYUE4CCktAh2Rh3gk.jpg
tt0013201	Le talisman de Grand-mère	1922	Comedy	Harold Lloyd	Mildred Davis	Anna Townsend	Fred C. Newmeyer	/9St2NINbr0zVwcMqyPvTDAKKXUc.jpg
tt0013257	La Sorcellerie à travers les âges	1922	Documentary	Benjamin Christensen	Elisabeth Christensen	Maren Pedersen	Benjamin Christensen	/8aC3s4idtSo6HTw4Yrrv4LPHb46.jpg
tt0013427	Nanouk l'Esquimau	1922	Documentary	Allakariallak	Alice Nevalinga	Cunayou	Robert J. Flaherty	/9WAboi1QbKu41WkyGxQVNpXwwxx.jpg
tt0013442	Nosferatu le vampire	1922	Fantasy	Max Schreck	Alexander Granach	Gustav von Wangenheim	F.W. Murnau	/zx24O7VAs6NbJhiIrUhWysAiHS0.jpg
tt0013556	Robin des Bois	1922	Adventure	Douglas Fairbanks	Wallace Beery	Sam De Grasse	Allan Dwan	/mdCrp5ubwXhg98AhpgTpgCeQKt8.jpg
tt0013662	Tess au pays des haines	1922	Drama	Mary Pickford	Lloyd Hughes	Gloria Hope	John S. Robertson	/8xSjRGRIlgxR5bVKo6WWdiBboT9.jpg
tt0013674	L'étroit mousquetaire	1922	Action	Max Linder	Bull Montana	Frank Cooke	Max Linder	/vFD7vtZii5AOxc6GtaD08Q4IATa.jpg
tt0013933	Coeur fidèle	1923	Drama	Léon Mathot	Gina Manès	Edmond Van Daële	Jean Epstein	/iVgllceWr3Da5QVRmj3b82yt90n.jpg
tt0014109	La légende de Gösta Berling	1924	Drama	Lars Hanson	Sven Scholander	Ellen Hartman-Cederström	Mauritz Stiller	/eIEQEcEZuepdOfDQH8qKy3TzWXB.jpg
tt0014142	Le Bossu de Notre-Dame	1923	Drama	Lon Chaney	Patsy Ruth Miller	Norman Kerry	Wallace Worsley	/3oheTQrTuqS1jPUW6GOc65ZbM5u.jpg
tt0014341	Les lois de l'hospitalité	1923	Comedy	Buster Keaton	Natalie Talmadge	Joe Keaton	John G. Blystone	/cAEdL6RzfDSbPO51izl01Njzikx.jpg
tt0014417	La rose du rail	1923	Drama	Gabriel de Gravone	Pierre Magnier	Georges Térof	Abel Gance	/5ed3ywd7lmDPhsCXmcdSih9SxP2.jpg
tt0014429	Monte là-dessus!	1923	Action	Harold Lloyd	Mildred Davis	Bill Strother	Fred C. Newmeyer	/fycYVsLKJLiZ324236pvBQMeW7A.jpg
tt0014440	Scaramouche	1923	Action	Lloyd Ingraham	Alice Terry	Ramon Novarro	Rex Ingram	/irNgY04GyYAWN9UM7V3FGDYWMPS.jpg
tt0014497	Âmes à vendre	1923	Comedy	Eleanor Boardman	Mae Busch	Barbara La Marr	Rupert Hughes	/cz3O6GkO14L64xukE4E50SvhlOk.jpg
tt0014538	Les trois âges	1923	Comedy	Buster Keaton	Margaret Leahy	Wallace Beery	Edward F. Cline	/khadgoKp9eLBY4t0KcST5gzddk3.jpg
tt0014611	Faut pas s'en faire	1923	Adventure	Harold Lloyd	Jobyna Ralston	John Aasen	Fred C. Newmeyer	/7NrgFBBgOyL0vDAZ17jo3EIQ2uo.jpg
tt0014624	L'opinion publique	1923	Drama	Edna Purviance	Clarence Geldert	Carl Miller	Charles Chaplin	/s24VgyvJliT7fUA909ZHJpoBx1D.jpg
tt0014945	Ça t'la coupe!	1924	Comedy	Harold Lloyd	Jobyna Ralston	Richard Daniels	Fred C. Newmeyer	/lndFFS75WM1NBCGo6t92q8D94FO.jpg
tt0014972	Larmes de clown	1924	Drama	Lon Chaney	Norma Shearer	John Gilbert	Victor Sjöström	/ue7ce11Y6vEjZXKZeKCBKl6O9Dp.jpg
tt0015002	Une riche famille	1924	Comedy	Harold Lloyd	Jobyna Ralston	Josephine Crowell	Fred C. Newmeyer	/pgnb43bbR1s5H72yN45bwN0YQUn.jpg
tt0015014	L'inhumaine	1924	Drama	Jaque Catelain	Léonid Walter de Malte	Philippe Hériat	"""Marcel LHerbier"""	/od2i9ksDCEQiNZ1Uel15G3n1xlY.jpg
tt0015064	Le dernier des hommes	1924	Drama	Emil Jannings	Maly Delschaft	Max Hiller	F.W. Murnau	/7Y6Dxr3oYt1w7ew70YNdLLDYEjk.jpg
tt0015119	Comédiennes	1924	Comedy	Florence Vidor	Monte Blue	Marie Prevost	Ernst Lubitsch	/5Umgljr4iMnuAw2BrEVGiaxOH6o.jpg
tt0015136	Michael	1924	Drama	Walter Slezak	Benjamin Christensen	Nora Gregor	Carl Theodor Dreyer	/wIlZoTcQPUOxxSAMYLGY0zOHj10.jpg
tt0015163	La croisière du navigator	1924	Action	Buster Keaton	Kathryn McGuire	Frederick Vroom	Donald Crisp	/eFIbnDnBnIi1qnz15UUiMFmjRmL.jpg
tt0015174	Les Nibelungen : La Vengeance de Kriemhild	1924	Adventure	Margarete Schön	Gertrud Arnold	Theodor Loos	Fritz Lang	/k3RBU7SPSIPmfpFFIHcJqIH04pD.jpg
tt0015175	Les Nibelungen : La Mort de Siegfried	1924	Adventure	Paul Richter	Margarete Schön	Theodor Loos	Fritz Lang	/eyUsCYUpJcWYWhbzlwzPYgHVeuD.jpg
tt0015202	Les mains d'Orlac	1924	Crime	Conrad Veidt	Alexandra Sorina	Fritz Strassny	Robert Wiene	/40WWy1SSx8rh1r4mn1MNpCKIteF.jpg
tt0015214	Le Rayon diabolique	1925	Comedy	Charles Martinelli	Louis Pré Fils	Albert Préjean	René Clair	/yZQ3WNDs98qwb3ufGfDvKpVwB8h.jpg
tt0015224	Peter Pan	1924	Adventure	Betty Bronson	Ernest Torrence	George Ali	Herbert Brenon	/9ZhpeVmPNaez39BKzH2AgLRDoAJ.jpg
tt0015310	L'aigle des mers	1924	Adventure	Milton Sills	Enid Bennett	Lloyd Hughes	Frank Lloyd	/8OR57fvegCkpamwvX4DKI6lHwRK.jpg
tt0015324	Sherlock Junior	1924	Action	Buster Keaton	Kathryn McGuire	Joe Keaton	Buster Keaton	/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
tt0015361	La grève	1925	Drama	Grigoriy Aleksandrov	Maksim Shtraukh	Mikhail Gomorov	Sergei Eisenstein	/mrDTaMxQKxWZ3uEs2G58vJWJDDL.jpg
tt0015400	Le voleur de Bagdad	1924	Adventure	Douglas Fairbanks	Julanne Johnston	Snitz Edwards	Raoul Walsh	/8t4CJ591N2FATf2yUiQNQk9p0tB.jpg
tt0015624	La grande parade	1925	Drama	John Gilbert	Renée Adorée	Hobart Bosworth	King Vidor	/8aBXJEkAHcwG2ghNYh6GIFd9ool.jpg
tt0015648	Le cuirassé Potemkine	1925	Drama	Aleksandr Antonov	Vladimir Barskiy	Grigoriy Aleksandrov	Sergei Eisenstein	/tjnaRiHUsxBADaOwrQpnTnjHVwi.jpg
tt0015758	Don X., fils de Zorro	1925	Adventure	Douglas Fairbanks	Mary Astor	Jack McDonald	Donald Crisp	/epmYC0Tp9BUBoJsTRGkFj3W6hLq.jpg
tt0015768	Le maître du logis	1925	Comedy	Johannes Meyer	Astrid Holm	Karin Nellemose	Carl Theodor Dreyer	/iRxogRnql0tmHRhuH8XsV1pOSFr.jpg
tt0015801	Feu Mathias Pascal	1925	Comedy	Ivan Mozzhukhin	Marcelle Pradot	Lois Moran	"""Marcel LHerbier"""	/kx1ukiBhhiyTkuhfbUDmtsRatnB.jpg
tt0015841	Vive le sport!	1925	Comedy	Harold Lloyd	Jobyna Ralston	Brooks Benedict	Fred C. Newmeyer	/3531lJNSMhrpcNWXrDIYYoYH6Rp.jpg
tt0015842	La rue sans joie	1925	Drama	Asta Nielsen	Greta Garbo	Ágnes Eszterházy	Georg Wilhelm Pabst	/qmOQssz4GfbdtOmxwMP0jBj4P4F.jpg
tt0015863	Ma vache et moi	1925	Comedy	Buster Keaton	Howard Truesdale	Kathleen Myers	Buster Keaton	/chZ6GbfTIKgD6nYmUKZScDAnIo8.jpg
tt0015864	La Ruée vers l'or	1925	Adventure	Charles Chaplin	Mack Swain	Tom Murray	Charles Chaplin	/eQRFo1qwRREYwj47Yoe1PisgOle.jpg
tt0015881	Les rapaces	1924	Drama	Gibson Gowland	Zasu Pitts	Jean Hersholt	Erich von Stroheim	/eur2vc2BGiOocBuBLVPXySO7lRh.jpg
tt0016004	L'éventail de Lady Windermere	1925	Comedy	Irene Rich	May McAvoy	Bert Lytell	Ernst Lubitsch	/fpDPAhrWuLiF28KMwDhYAj5ofTk.jpg
tt0016013	Notre héros	1925	Action	Buck Jones	Madge Bellamy	Virginia Marshall	Frank Borzage	/extnbHDYv62gVgdkLklfvHd6C8V.jpg
tt0016029	Le petit colonel	1935	Comedy	Shirley Temple	Lionel Barrymore	Evelyn Venable	David Butler	/t48Hj1PtU0JhcRbiunJ1BIYxLlA.jpg
tt0016039	Le Monde perdu	1925	Adventure	Wallace Beery	Bessie Love	Lloyd Hughes	Harry O. Hoyt	/411VnWtYJdEFKiaGqJOeTmBv8th.jpg
tt0016104	La veuve joyeuse	1925	Drama	Mae Murray	John Gilbert	"""Roy DArcy"""	Erich von Stroheim	/6xDqKyNHBy4zIjsnO4ukE5eGdao.jpg
tt0016220	Le Fantôme de l'opéra	1925	Horror	Lon Chaney	Mary Philbin	Norman Kerry	Rupert Julian	/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg
tt0016232	Poil de carotte	1925	Drama	Henry Krauss	Charlotte Barbier-Krauss	André Heuzé	Julien Duvivier	/s742aD85gxvEsmQlQ8uqlv3qfCW.jpg
tt0016258	Marchand d'habits	1925	Comedy	Jackie Coogan	Lydia Yeamans Titus	Ethel Wales	Edward F. Cline	/5cQnCcSuIi8Rz8hfSJx9pvPAvq5.jpg
tt0016332	Fiancées en folie	1925	Comedy	Buster Keaton	Ruth Dwyer	T. Roy Barnes	Buster Keaton	/fH9woIxzqVtyv6S711vSVlS12eA.jpg
tt0016395	Le sacrifice de Stella Dallas	1925	Drama	Ronald Colman	Belle Bennett	Alice Joyce	Henry King	/68bWkOUQYdidJnW9FKD7MUu68kW.jpg
tt0016473	Le club des 3	1925	Crime	Lon Chaney	Mae Busch	Matt Moore	Tod Browning	/aU3eZJEuzFzngrnTQJrqhTQ8zzO.jpg
tt0016480	La race qui meurt	1925	Drama	Richard Dix	Lois Wilson	Noah Beery	George B. Seitz	/tewfhjxwcp9suKf3ZO3Bv7Sve0c.jpg
tt0016481	Variétés	1925	Crime	Emil Jannings	Maly Delschaft	Lya De Putti	Ewald André Dupont	/94oMH542EHqPa39YaqvpAj0RqDd.jpg
tt0016491	Saint-Bernard	1925	Drama	Jean Forest	Victor Vina	Pierrette Houyez	Jacques Feyder	/cNCOL8l9f9cqorL8dPRbBAOCniF.jpg
tt0016627	Bardelys le magnifique	1926	Drama	John Gilbert	Eleanor Boardman	"""Roy DArcy"""	King Vidor	/8Y2xo9pp5NUPxkRziFWVRw88EUv.jpg
tt0016630	Le Dernier Round	1926	Comedy	Buster Keaton	Snitz Edwards	"""Sally ONeil"""	Buster Keaton	/7MVdo4OyzIcwycN58J9n855ggoS.jpg
tt0016641	Ben-Hur	1925	Action	Ramon Novarro	Francis X. Bushman	May McAvoy	Fred Niblo	/4EbIbp9Kgnj0m0eMEfQlX3fyDHZ.jpg
tt0016654	Le pirate noir	1926	Action	Douglas Fairbanks	Billie Dove	Tempe Pigott	Albert Parker	/841WLSvTRN3TQKxiUjD1TY9dc42.jpg
tt0016669	La Bohème	1926	Drama	Lillian Gish	John Gilbert	Renée Adorée	King Vidor	/7fLAxBNFb0CUTe5Nd8qsWeMX2Fr.jpg
tt0016822	Si tu vois ma nièce	1926	Comedy	Colleen Moore	Lloyd Hughes	Vera Lewis	Alfred E. Green	/heeZzfFoVRnmNyjnhF94gDvy2m6.jpg
tt0016847	Faust, une légende allemande	1926	Drama	Gösta Ekman	Emil Jannings	Camilla Horn	F.W. Murnau	/rN703hMFxmkZfyEzsXvFtuFhkXE.jpg
tt0016884	La chair et le diable	1926	Drama	John Gilbert	Greta Garbo	Lars Hanson	Clarence Brown	/crbsj3275H5Q0accBiql7GyKTQW.jpg
tt0016895	Pour l'amour du ciel	1926	Action	Harold Lloyd	Jobyna Ralston	Noah Young	Sam Taylor	/vm0lSwUsOteJD1GYddY3ZShCP0u.jpg
tt0016914	Les mystères d'une âme	1926	Drama	Werner Krauss	Ruth Weyher	Ilka Grüning	Georg Wilhelm Pabst	/j4aEY255ZGw0V65DrblT0kGmnzv.jpg
tt0017010	La chevauchée de la mort	1926	Drama	"""George OBrien"""	Florence Gilbert	Janet Gaynor	Irving Cummings	/2E0hHqy1u44WQoIOD1UpizFXD3F.jpg
tt0017048	Une page folle	1926	Drama	Masuo Inoue	Ayako Iijima	Yoshie Nakagawa	Teinosuke Kinugasa	/4omdvaOfHI438c368MRa2SPObGg.jpg
tt0017075	Les cheveux d'or	1927	Crime	June Tripp	Ivor Novello	Marie Ault	Alfred Hitchcock	/tD84zwFeFRf3zG98x558N3PBMV.jpg
tt0017128	La Mère	1926	Drama	Vera Baranovskaya	Nikolay Batalov	Aleksandr Chistyakov	Vsevolod Pudovkin	/u9u71FR74RVndbAbW3rlmts0QyS.jpg
tt0017136	Metropolis	1927	Drama	Brigitte Helm	Alfred Abel	Gustav Fröhlich	Fritz Lang	/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg
tt0017159	Miss Mend	1926	Adventure	Natalya Glan	Igor Ilyinsky	Vladimir Fogel	Boris Barnet	/mYcgR2mrrlZCLr4RCoeT9UGXwbB.jpg
tt0017271	Dura lex - selon la loi	1926	Action	Aleksandra Khokhlova	Sergey Komarov	Vladimir Fogel	Lev Kuleshov	/h5L60GAXDWqeKYQoII00AkobV4l.jpg
tt0017350	La lettre écarlate	1926	Drama	Lillian Gish	Lars Hanson	Henry B. Walthall	Victor Sjöström	/2wmkhKCjXg0qU1PCK9Rfx3vaCDE.jpg
tt0017409	Les surprises de la TSF	1926	Comedy	Monte Blue	Patsy Ruth Miller	George Beranger	Ernst Lubitsch	/bVcYRrzmA95SIlPVd1RGGrd17XA.jpg
tt0017423	Les moineaux	1926	Drama	Mary Pickford	Roy Stewart	Mary Louise Miller	William Beaudine	/3ZPfhlwZ9HIYViUCgoZusCszohT.jpg
tt0017448	Tartuffe	1925	Comedy	Hermann Picha	Rosa Valetti	André Mattoni	F.W. Murnau	/xRin1lHzsK8s8EMfT54wgxiD61H.jpg
tt0017449	La tentatrice	1926	Drama	Greta Garbo	Antonio Moreno	Marc McDermott	Fred Niblo	/obcec3fzVnF2yE4vaOkWxxwHPWT.jpg
tt0017463	Trois sublimes canailles	1926	Drama	"""George OBrien"""	Olive Borden	Lou Tellegen	John Ford	/4x1vv1O0QMgE2sSbtSbrV68Zscr.jpg
tt0017567	La conquête de Barbara Worth	1926	Drama	Ronald Colman	Vilma Bánky	Gary Cooper	Henry King	/uk7irSEIkQzh604PCTvbsToKJui.jpg
tt0017653	Le village du péché	1927	Drama	Kuzma Yastrebitsky	Olga Narbekova	Yelena Maksimova	Ivan Pravov	/AeghrfPaJaz8r0vYMR7WVd8PWkc.jpg
tt0017667	L'étrange aventure du vagabond poète	1927	Adventure	John Barrymore	Conrad Veidt	Marceline Day	Alan Crosland	/edg5jh8LPxv28REslObgb7u26N5.jpg
tt0017739	La volonté du mort	1927	Comedy	Laura La Plante	Creighton Hale	Forrest Stanley	Paul Leni	/obXtEtHmncAtak6IFFpaWR3DQbS.jpg
tt0017765	Collge	1927	Comedy	Buster Keaton	Anne Cornwall	Flora Bramley	James W. Horne	/dUwk8qNkXb243JViqdVqOvUmiMt.jpg
tt0017809	La jeune fille au carton à chapeau	1927	Comedy	Anna Sten	Vladimir Mikhaylov	Vladimir Fogel	Boris Barnet	/bx6n6Oi96w0bImKVdJ8hNBjEl1.jpg
tt0017918	Le Gaucho	1927	Adventure	Douglas Fairbanks	Lupe Velez	Joan Barclay	F. Richard Jones	/kny17ATlJk5GYrrtG1i20vkfAAV.jpg
tt0017925	Le Mécano de la 'Général'	1926	Action	Buster Keaton	Marion Mack	Glen Cavender	Clyde Bruckman	/nIp4gIXogCjfB1QABNsWwa9gSca.jpg
tt0017938	La Glace à trois faces	1927	Drama	Jeanne Helbling	Suzy Pierson	Olga Day	Jean Epstein	/u5JFnnPdt4sCyzJDA1UxohC1C90.jpg
tt0017961	Le bonheur	1935	Comedy	Pyotr Zinovyev	Yelena Yegorova	Mikhail Gipsi	Aleksandr Medvedkin	/cj8yZFIngZdsSbsAN4c8CDzTBvT.jpg
tt0018033	Le coup de foudre	1927	Comedy	Clara Bow	Antonio Moreno	William Austin	Clarence G. Badger	/nkkhsKik9GILqn3S5BxoZdyml21.jpg
tt0018045	Le joueur d'échecs	1927	Drama	Pierre Blanchar	Charles Dullin	Édith Jéhanne	Raymond Bernard	/9jpeRwT0kpOAVypVt5Eav75PSFp.jpg
tt0018051	Le petit frère	1927	Comedy	Harold Lloyd	Jobyna Ralston	Walter James	Ted Wilde	/wH5VcRHUdR0ZIb938mVEbPzF13c.jpg
tt0018054	Le roi des rois	1927	Biography	H.B. Warner	Dorothy Cumming	Ernest Torrence	Cecil B. DeMille	/qJThyOfQVeEctEVVtK3LTDVL5S6.jpg
tt0018066	La fin de Saint-Pétersbourg	1927	Drama	Aleksandr Chistyakov	Vera Baranovskaya	Ivan Chuvelyov	Vsevolod Pudovkin	/wKLkiMq76do71f1TcHqXbvkiXOp.jpg
tt0018087	L'amour de Jeanne Ney	1927	Drama	Édith Jéhanne	Uno Henning	Fritz Rasp	Georg Wilhelm Pabst	/6v4VJ3vsXHe0dZSzcGzDg7J5Owe.jpg
tt0018183	La petite vendeuse	1927	Comedy	Mary Pickford	"""Charles Buddy Rogers"""	Sunshine Hart	Sam Taylor	/iGvQM2bgbA49mV19YGW9uwUHYpy.jpg
tt0018192	Napoléon	1927	Biography	Albert Dieudonné	Nicolas Roudenko	Edmond Van Daële	Abel Gance	/x0duTwP9rjVpa2O13r1GK8j61qG.jpg
tt0018217	Octobre	1928	Drama	Boris Livanov	Nikolay Popov	Vasili Nikandrov	Grigoriy Aleksandrov	/tsfz9Ak1slSnxr6mSmRD3Wj7YZS.jpg
